"","PUlocationID","type","weight"
"1",1,"Via",100
"2",2,"Lyft",46.7836257309941
"3",2,"Uber",53.2163742690059
"4",3,"Lyft",14.7511787617876
"5",3,"Uber",85.1033979089791
"6",3,"Via",0.145423329233292
"7",4,"Lyft",21.1478202555879
"8",4,"Uber",67.5358964236075
"9",4,"Via",11.3162833208045
"10",5,"Lyft",16.2323288964968
"11",5,"Uber",83.7676711035032
"12",6,"Lyft",19.4493554919798
"13",6,"Uber",80.4718891639075
"14",6,"Via",0.0787553441126362
"15",7,"Lyft",26.9276643589207
"16",7,"Uber",72.3427490160623
"17",7,"Via",0.729586625017029
"18",8,"Lyft",18.7529155652309
"19",8,"Uber",80.8738920852122
"20",8,"Via",0.373192349556834
"21",9,"Lyft",18.4194763258815
"22",9,"Uber",81.4256108728132
"23",9,"Via",0.154912801305399
"24",10,"Lyft",22.2565942612193
"25",10,"Uber",77.6184515661574
"26",10,"Via",0.124954172623322
"27",11,"Lyft",16.0238441984163
"28",11,"Uber",83.6995046378219
"29",11,"Via",0.276651163761829
"30",12,"Lyft",12.9832618718717
"31",12,"Uber",84.4871817871943
"32",12,"Via",2.52955634093396
"33",13,"Lyft",14.8745620999466
"34",13,"Uber",70.9293573578423
"35",13,"Via",14.1960805422111
"36",14,"Lyft",20.3260613966672
"37",14,"Uber",79.2899301251406
"38",14,"Via",0.38400847819217
"39",15,"Lyft",20.8243444874219
"40",15,"Uber",79.0758674434297
"41",15,"Via",0.0997880691483801
"42",16,"Lyft",18.8668442408703
"43",16,"Uber",81.0144963613884
"44",16,"Via",0.118659397741323
"45",17,"Lyft",31.5047071651432
"46",17,"Uber",67.4629858885953
"47",17,"Via",1.03230694626157
"48",18,"Lyft",10.6925496138969
"49",18,"Uber",89.1838563642588
"50",18,"Via",0.123594021844346
"51",19,"Lyft",21.1276465724864
"52",19,"Uber",78.7752974585715
"53",19,"Via",0.0970559689420899
"54",20,"Lyft",11.8679811572022
"55",20,"Uber",87.9664486891535
"56",20,"Via",0.165570153644332
"57",21,"Lyft",14.0900626797679
"58",21,"Uber",85.6659517515421
"59",21,"Via",0.243985568690043
"60",22,"Lyft",15.9341109528599
"61",22,"Uber",83.7670906907053
"62",22,"Via",0.298798356434712
"63",23,"Lyft",20.6367593372648
"64",23,"Uber",79.3345736216419
"65",23,"Via",0.0286670410933258
"66",24,"Lyft",19.6761370279434
"67",24,"Uber",60.4048287150707
"68",24,"Via",19.9190342569859
"69",25,"Lyft",29.5317729484647
"70",25,"Uber",68.3912619134071
"71",25,"Via",2.07696513812814
"72",26,"Lyft",12.8720904563385
"73",26,"Uber",86.9359336949399
"74",26,"Via",0.191975848721644
"75",27,"Lyft",20.8652792990142
"76",27,"Uber",78.9938976685965
"77",27,"Via",0.140823032389297
"78",28,"Lyft",21.9389641231601
"79",28,"Uber",77.8001886853834
"80",28,"Via",0.260847191456515
"81",29,"Lyft",11.8266540540077
"82",29,"Uber",87.9335720593405
"83",29,"Via",0.239773886651825
"84",30,"Lyft",19.0205934814334
"85",30,"Uber",80.9794065185666
"86",31,"Lyft",10.0112926433893
"87",31,"Uber",89.7974609766315
"88",31,"Via",0.191246379979236
"89",32,"Lyft",13.9466605302207
"90",32,"Uber",85.8663365681926
"91",32,"Via",0.187002901586747
"92",33,"Lyft",25.4523136711047
"93",33,"Uber",71.1778601463706
"94",33,"Via",3.36982618252477
"95",34,"Lyft",23.6704363460087
"96",34,"Uber",73.9615995876466
"97",34,"Via",2.36796406634472
"98",35,"Lyft",17.5732405711913
"99",35,"Uber",82.0818671825221
"100",35,"Via",0.344892246286549
"101",36,"Lyft",32.1171385378419
"102",36,"Uber",66.8838624071572
"103",36,"Via",0.998999055000894
"104",37,"Lyft",31.2698858319296
"105",37,"Uber",67.5799644394535
"106",37,"Via",1.15014972861688
"107",38,"Lyft",23.1968577231186
"108",38,"Uber",76.7072379555455
"109",38,"Via",0.0959043213358908
"110",39,"Lyft",14.3186287499477
"111",39,"Uber",85.417706866013
"112",39,"Via",0.263664384039274
"113",40,"Lyft",32.6309908028907
"114",40,"Uber",65.3893516442314
"115",40,"Via",1.97965755287786
"116",41,"Lyft",21.6089715560226
"117",41,"Uber",68.942527806459
"118",41,"Via",9.44850063751842
"119",42,"Lyft",20.0195823019891
"120",42,"Uber",75.8155104540033
"121",42,"Via",4.16490724400761
"122",43,"Lyft",8.21120343890619
"123",43,"Uber",86.338344160557
"124",43,"Via",5.45045240053682
"125",44,"Lyft",14.4880537936955
"126",44,"Uber",85.5095617339883
"127",45,"Lyft",26.6547380085196
"128",45,"Uber",65.2136713321647
"129",45,"Via",8.13159065931571
"130",46,"Lyft",17.9067669172932
"131",46,"Uber",82.0330827067669
"132",46,"Via",0.0601503759398496
"133",47,"Lyft",11.0137130568628
"134",47,"Uber",88.8412025069412
"135",47,"Via",0.145084436195989
"136",48,"Lyft",18.6855028910721
"137",48,"Uber",74.0919266096237
"138",48,"Via",7.22257049930425
"139",49,"Lyft",29.8624925958626
"140",49,"Uber",68.051706025012
"141",49,"Via",2.08580137912536
"142",50,"Lyft",25.0095766772626
"143",50,"Uber",59.3883359431179
"144",50,"Via",15.6020873796195
"145",51,"Lyft",13.5575116210068
"146",51,"Uber",86.3759541813147
"147",51,"Via",0.066534197678496
"148",52,"Lyft",33.9204903794023
"149",52,"Uber",63.0367673906549
"150",52,"Via",3.0427422299428
"151",53,"Lyft",18.0900237849482
"152",53,"Uber",81.757393528699
"153",53,"Via",0.152582686352825
"154",54,"Lyft",30.409731575043
