"","hour","wday","type","n"
"155",7,"Saturday","Uber",500476
"156",7,"Saturday","Via",16554
"157",7,"Sunday","Lyft",126380
"158",7,"Sunday","Uber",410803
"159",7,"Sunday","Via",12328
"160",7,"Thursday","Lyft",227242
"161",7,"Thursday","Uber",957614
"162",7,"Thursday","Via",140049
"163",7,"Tuesday","Lyft",217075
"164",7,"Tuesday","Uber",929991
"165",7,"Tuesday","Via",145478
"166",7,"Wednesday","Lyft",219372
"167",7,"Wednesday","Uber",932444
"168",7,"Wednesday","Via",139316
"169",8,"Friday","Lyft",290883
"170",8,"Friday","Uber",1180062
"171",8,"Friday","Via",151872
"172",8,"Monday","Lyft",251775
"173",8,"Monday","Uber",1097451
"174",8,"Monday","Via",152626
"175",8,"Saturday","Lyft",193089
"176",8,"Saturday","Uber",684183
"177",8,"Saturday","Via",29538
"178",8,"Sunday","Lyft",155382
"179",8,"Sunday","Uber",528929
"180",8,"Sunday","Via",21055
"181",8,"Thursday","Lyft",280163
"182",8,"Thursday","Uber",1194171
"183",8,"Thursday","Via",165758
"184",8,"Tuesday","Lyft",272498
"185",8,"Tuesday","Uber",1168938
"186",8,"Tuesday","Via",171360
"187",8,"Wednesday","Lyft",274214
"188",8,"Wednesday","Uber",1163396
"189",8,"Wednesday","Via",165024
"190",9,"Friday","Lyft",284898
"191",9,"Friday","Uber",1071304
"192",9,"Friday","Via",99483
"193",9,"Monday","Lyft",255297
"194",9,"Monday","Uber",990275
"195",9,"Monday","Via",94981
"196",9,"Saturday","Lyft",233833
"197",9,"Saturday","Uber",844724
"198",9,"Saturday","Via",42573
"199",9,"Sunday","Lyft",207697
"200",9,"Sunday","Uber",708009
"201",9,"Sunday","Via",33119
"202",9,"Thursday","Lyft",266565
"203",9,"Thursday","Uber",1051163
"204",9,"Thursday","Via",104115
"205",9,"Tuesday","Lyft",257477
"206",9,"Tuesday","Uber",1017477
"207",9,"Tuesday","Via",104044
"208",9,"Wednesday","Lyft",264181
"209",9,"Wednesday","Uber",1030423
"210",9,"Wednesday","Via",103449
"211",10,"Friday","Lyft",243690
"212",10,"Friday","Uber",879636
"213",10,"Friday","Via",64260
"214",10,"Monday","Lyft",222374
"215",10,"Monday","Uber",798167
"216",10,"Monday","Via",59641
"217",10,"Saturday","Lyft",265929
"218",10,"Saturday","Uber",934706
"219",10,"Saturday","Via",51011
"220",10,"Sunday","Lyft",266505
"221",10,"Sunday","Uber",889865
"222",10,"Sunday","Via",45544
"223",10,"Thursday","Lyft",224185
"224",10,"Thursday","Uber",838139
"225",10,"Thursday","Via",66626
"226",10,"Tuesday","Lyft",217739
"227",10,"Tuesday","Uber",800149
"228",10,"Tuesday","Via",65222
"229",10,"Wednesday","Lyft",221648
"230",10,"Wednesday","Uber",813567
"231",10,"Wednesday","Via",65648
"232",11,"Friday","Lyft",231739
"233",11,"Friday","Uber",855769
"234",11,"Friday","Via",59881
"235",11,"Monday","Lyft",208835
"236",11,"Monday","Uber",752121
"237",11,"Monday","Via",53740
"238",11,"Saturday","Lyft",290180
"239",11,"Saturday","Uber",1024506
"240",11,"Saturday","Via",57277
"241",11,"Sunday","Lyft",303638
"242",11,"Sunday","Uber",998883
"243",11,"Sunday","Via",53651
"244",11,"Thursday","Lyft",210202
"245",11,"Thursday","Uber",803901
"246",11,"Thursday","Via",58850
"247",11,"Tuesday","Lyft",199293
"248",11,"Tuesday","Uber",753156
"249",11,"Tuesday","Via",57572
"250",11,"Wednesday","Lyft",204867
"251",11,"Wednesday","Uber",770875
"252",11,"Wednesday","Via",58735
"253",12,"Friday","Lyft",227314
"254",12,"Friday","Uber",890469
"255",12,"Friday","Via",62599
"256",12,"Monday","Lyft",210114
"257",12,"Monday","Uber",769935
"258",12,"Monday","Via",53548
