"","wday","d.med"
"1","Friday",21.4528367119948
"2","Monday",19.9830779064345
"3","Saturday",19.6546528566412
"4","Sunday",18.9775775405837
"5","Thursday",21.9376608227827
"6","Tuesday",20.7360191678067
"7","Wednesday",20.9639792850699
