"","day","d.med"
"169","2018-06-18",16.4833333333333
"170","2018-06-19",17.45
"171","2018-06-20",17.6
"172","2018-06-21",18.3666666666667
"173","2018-06-22",17.8166666666667
"174","2018-06-23",16.1666666666667
"175","2018-06-24",16.3333333333333
"176","2018-06-25",17.0666666666667
"177","2018-06-26",17.3166666666667
"178","2018-06-27",17.4
"179","2018-06-28",17.7166666666667
"180","2018-06-29",18.2
"181","2018-06-30",16.3333333333333
"182","2018-07-01",15.0833333333333
"183","2018-07-02",15.8333333333333
"184","2018-07-03",16.1
"185","2018-07-04",14.7833333333333
"186","2018-07-05",15.4333333333333
"187","2018-07-06",15.9333333333333
"188","2018-07-07",15.7666666666667
"189","2018-07-08",15.6666666666667
"190","2018-07-09",16.5833333333333
"191","2018-07-10",16.7833333333333
"192","2018-07-11",17.2166666666667
"193","2018-07-12",17.8166666666667
"194","2018-07-13",17.6666666666667
"195","2018-07-14",16.6333333333333
"196","2018-07-15",15.5
"197","2018-07-16",16.4666666666667
"198","2018-07-17",17.0833333333333
"199","2018-07-18",17.9333333333333
"200","2018-07-19",18.6666666666667
"201","2018-07-20",17.9666666666667
"202","2018-07-21",16.6166666666667
"203","2018-07-22",15.7833333333333
"204","2018-07-23",16.8
"205","2018-07-24",17.5
"206","2018-07-25",17.7
"207","2018-07-26",18.4666666666667
"208","2018-07-27",18.0833333333333
"209","2018-07-28",17.0333333333333
"210","2018-07-29",16.3
"211","2018-07-30",16.8833333333333
"212","2018-07-31",17.2833333333333
"213","2018-08-01",17.45
"214","2018-08-02",17.9666666666667
"215","2018-08-03",18.0666666666667
"216","2018-08-04",16.8666666666667
"217","2018-08-05",16.1
"218","2018-08-06",16.7166666666667
"219","2018-08-07",17.0833333333333
"220","2018-08-08",17.45
"221","2018-08-09",18.1666666666667
"222","2018-08-10",17.8666666666667
"223","2018-08-11",16.5833333333333
"224","2018-08-12",16.4833333333333
"225","2018-08-13",16.7333333333333
"226","2018-08-14",17.2333333333333
"227","2018-08-15",17.4833333333333
"228","2018-08-16",17.8166666666667
"229","2018-08-17",17.4
"230","2018-08-18",17.0333333333333
"231","2018-08-19",16.3
"232","2018-08-20",16.65
"233","2018-08-21",16.2833333333333
"234","2018-08-22",16.95
"235","2018-08-23",17.6666666666667
"236","2018-08-24",17.5333333333333
"237","2018-08-25",16.8833333333333
"238","2018-08-26",16.35
"239","2018-08-27",16.7
"240","2018-08-28",16.95
"241","2018-08-29",17.0833333333333
"242","2018-08-30",17.95
"243","2018-08-31",17.6
"244","2018-09-01",16.3666666666667
"245","2018-09-02",16.0333333333333
"246","2018-09-03",15.4833333333333
"247","2018-09-04",17.5
"248","2018-09-05",18.2666666666667
"249","2018-09-06",18.8666666666667
"250","2018-09-07",19.0833333333333
"251","2018-09-08",17.9333333333333
"252","2018-09-09",16.2333333333333
"253","2018-09-10",16.3166666666667
"254","2018-09-11",17.2
"255","2018-09-12",18.95
"256","2018-09-13",19.0166666666667
"257","2018-09-14",18.7833333333333
"258","2018-09-15",17.95
"259","2018-09-16",16.9333333333333
"260","2018-09-17",17.8166666666667
"261","2018-09-18",17.4833333333333
"262","2018-09-19",16.65
"263","2018-09-20",19.1833333333333
"264","2018-09-21",19.1
"265","2018-09-22",18.0166666666667
"266","2018-09-23",16.9666666666667
"267","2018-09-24",17.6166666666667
"268","2018-09-25",17.8
"269","2018-09-26",18.7833333333333
"270","2018-09-27",19.4333333333333
"271","2018-09-28",18.6166666666667
"272","2018-09-29",17.9166666666667
"273","2018-09-30",16.8833333333333
"274","2018-10-01",17.2333333333333
"275","2018-10-02",17.2
"276","2018-10-03",19.0833333333333
"277","2018-10-04",19.45
"278","2018-10-05",19.6333333333333
"279","2018-10-06",18.1666666666667
"280","2018-10-07",17.35
"281","2018-10-08",16.25
"282","2018-10-09",18.4166666666667
"283","2018-10-10",18.55
"284","2018-10-11",18.8333333333333
"285","2018-10-12",19
"286","2018-10-13",17.5833333333333
"287","2018-10-14",16.9
"288","2018-10-15",17.7166666666667
"289","2018-10-16",18
"290","2018-10-17",18.3833333333333
"291","2018-10-18",18.8
"292","2018-10-19",18.8
"293","2018-10-20",17.9666666666667
"294","2018-10-21",16.5833333333333
"295","2018-10-22",17.3833333333333
"296","2018-10-23",17.8166666666667
"297","2018-10-24",18.05
"298","2018-10-25",18.5833333333333
"299","2018-10-26",18.5
"300","2018-10-27",16.6333333333333
